Player,FG%,PTS,PT + FG%,TRB,AST,Player Rating,ORL,OKC,T_HOU,SAC,DET,IND,POR,NOP,SAS,WAS,NYK,OKC2,CHO,CLE,CHO2,ATL,T_HOU2
Paolo Banchero,0.442,21.3,9.4146,6.9,4.6,20.9146,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Chet Holmgren,0.53,16.5,8.745,7.9,2.4,19.045,1.5,2,1.5,1,1,1.5,1.5,1.5,1,1.5,1,1,2,1,2,1.5,1
Jabari Smith Jr.,0.43,13.3,5.719,7.6,1.4,14.719,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Keegan Murray,0.454,13.7,6.2198,5,1.4,12.6198,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Jaden Ivey,0.422,15.8,6.6676,3.7,4.5,14.8676,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Bennedict Mathurin,0.439,15.8,6.9362,4,1.7,12.6362,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Shaedon Sharpe,0.445,11.6,5.162,3.5,1.7,10.362,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Dyson Daniels,0.435,4.8,2.088,3.5,2.5,8.088,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Jeremy Sochan,0.444,11.3,5.0172,5.9,3,13.9172,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Johnny Davis,0.394,4,1.576,1.8,0.8,4.176,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Ousmane Dieng,0.421,4.5,1.8945,2.2,1.2,5.2945,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Jalen Williams,0.532,16.5,8.778,4.2,3.9,16.878,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Jalen Duren,0.631,11.4,7.1934,10.2,1.7,19.0934,1.5,2,1.5,1,1,1.5,1.5,1.5,1,1.5,1,1,2,1,2,1.5,1
Ochai Agbaji,0.419,6.7,2.8073,2.5,1.1,6.4073,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Mark Williams,0.642,10.1,6.4842,7.9,0.6,14.9842,1.5,2,1.5,1,1,1.5,1.5,1.5,1,1.5,1,1,2,1,2,1.5,1
AJ Griffin,0.447,7.5,3.3525,1.9,0.8,6.0525,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Tari Eason,0.452,9.4,4.2488,6.2,1.1,11.5488,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Dalen Terry,0.441,2.7,1.1907,1.5,1.1,3.7907,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Jake LaRavia,0.389,6.9,2.6841,2.7,1.1,6.4841,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Malaki Branham,0.436,9.7,4.2292,2.3,2,8.5292,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Christian Braun,0.473,6.1,2.8853,3.1,1.2,7.1853,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Walker Kessler,0.69,8.7,6.003,8,0.9,14.903,1.5,2,1.5,1,1,1.5,1.5,1.5,1,1.5,1,1,2,1,2,1.5,1
David Roddy,0.416,6.6,2.7456,3,1,6.7456,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
MarJon Beauchamp,0.433,4.8,2.0784,2.1,0.7,4.8784,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Blake Wesley,0.398,4.6,1.8308,1.8,2.7,6.3308,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Wendell Moore Jr.,0.443,1.1,0.4873,0.6,0.4,1.4873,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Nikola JoviÄ‡,0.443,7.1,3.1453,3.7,1.6,8.4453,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
Patrick Baldwin Jr.,0.386,4.2,1.6212,2.4,0.6,4.6212,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2
TyTy Washington Jr.,0.356,3.8,1.3528,1.2,1.2,3.7528,1,1,1,1.5,2,1,2,2,1.5,2,1.5,1.5,1,1.5,1.5,1,1.5
Peyton Watson,0.468,5.9,2.7612,2.9,0.9,6.5612,2,1.5,2,2,1.5,2,1,1,2,1,2,2,1.5,2,1,2,2